grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_129,psal_qc,ExtraTrees,0.9061,0.7661,0.9355,0.788,0.2275,0.7824,136.77,1259932,56766,200344
Grid_129,psal_qc,XGBoost,0.9627,0.8752,0.9711,0.7009,0.2122,0.7459,181.58,1259932,56766,200344
Grid_129,psal_qc,CatBoost,0.9152,0.5203,0.9414,0.7134,0.2098,0.7423,661.85,1259932,56766,200344
Grid_129,psal_qc,LightGBM,0.9537,0.8604,0.9653,0.7326,0.2185,0.7632,148.35,1259932,56766,200344
Grid_129,psal_qc,LogisticRegression,0.6905,0.3284,0.7988,0.7281,0.3265,0.7889,578.94,1259932,56766,200344
Grid_130,temp_qc,RandomForest,0.9484,0.6329,0.9594,0.8779,0.2337,0.9349,617.74,1245244,56430,208374
Grid_130,temp_qc,ExtraTrees,0.9164,0.5841,0.9392,0.8369,0.2278,0.9111,199.99,1245244,56430,208374
Grid_130,temp_qc,XGBoost,0.943,0.6348,0.9568,0.8065,0.2232,0.8929,245.8,1245244,56430,208374
Grid_130,temp_qc,CatBoost,0.8778,0.4808,0.9165,0.7628,0.2164,0.8654,898.71,1245244,56430,208374
Grid_130,temp_qc,LightGBM,0.929,0.3902,0.948,0.8367,0.2278,0.911,206.36,1245244,56430,208374
Grid_130,temp_qc,LogisticRegression,0.5962,0.4627,0.7261,0.5552,0.1785,0.7139,1685.99,1245244,56430,208374
Grid_130,psal_qc,RandomForest,0.9529,0.6993,0.9625,0.8518,0.2402,0.8836,485.44,1245384,56430,208374
Grid_130,psal_qc,ExtraTrees,0.9214,0.611,0.9423,0.8032,0.2317,0.8554,147.37,1245384,56430,208374
Grid_130,psal_qc,XGBoost,0.9484,0.6726,0.9604,0.7732,0.2264,0.8374,187.71,1245384,56430,208374
